importance,author,title,table_name,keywords,Left/Right,Name,Broadman Area,t,X(R),Y(A),Z(S),z-score,NV,p value,cluster size,index_col,MNIX,MNIY,MNIZ,BA,TALX,TALY,TALZ,BA_name,BA_no
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 B - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female versus Beautiful Male,fMRI; outcome phase; decision making; social reward; talairach; passive,,slea,nan,,16,-9,-8,,,0.00021,,112,17,-7,-14,Outside defined BAs,16,-9,-8,Outside defined BAs,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 B - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female versus Beautiful Male,fMRI; outcome phase; decision making; social reward; talairach; passive,,slea,nan,,-24,3,-18,,,0.00025,,113,-24,7,-25,Left-Amygdala,-24,3,-18,Left-Amygdala,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 B - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female versus Beautiful Male,fMRI; outcome phase; decision making; social reward; talairach; passive,,gob,nan,,19,48,-11,,,8.5e-06,,114,20,53,-12,Right-AntPFC (10),19,48,-11,Right-AntPFC ,10.0
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 B - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female versus Beautiful Male,fMRI; outcome phase; decision making; social reward; talairach; passive,,gob,nan,,-21,33,-8,,,2e-06,,115,-21,38,-10,Outside defined BAs,-21,33,-8,Outside defined BAs,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 B - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female versus Beautiful Male,fMRI; outcome phase; decision making; social reward; talairach; passive,,gob,nan,,-21,45,-5,,,-3.9e-09,,116,-21,50,-6,Outside defined BAs,-21,45,-5,Outside defined BAs,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 B - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female versus Beautiful Male,fMRI; outcome phase; decision making; social reward; talairach; passive,,gob,nan,,34,42,-2,,,-8.6e-11,,117,35,45,-5,Right-AntPFC (10),34,42,-2,Right-AntPFC ,10.0
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 B - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female versus Beautiful Male,fMRI; outcome phase; decision making; social reward; talairach; passive,,gob,nan,,13,54,-8,,,1.9e-08,,118,14,60,-7,Right-AntPFC (10),13,54,-8,Right-AntPFC ,10.0
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 B - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female versus Beautiful Male,fMRI; outcome phase; decision making; social reward; talairach; passive,,gob,nan,,-33,24,2,,,-6.2e-05,,119,-34,27,0,Left-ParsOrbitalis (47),-33,24,2,Left-ParsOrbitalis ,47.0
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 C- Post-Hoc Fixed Effects Analysis - Contrast - Beautiful male versus Average male,fMRI; outcome phase; decision making; social reward; talairach; passive,,nac and other vs,nan,,7,12,2,,,-6.4e-06,,120,8,15,0,Right-Caudate,7,12,2,Right-Caudate,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 C- Post-Hoc Fixed Effects Analysis - Contrast - Beautiful male versus Average male,fMRI; outcome phase; decision making; social reward; talairach; passive,,nac and other vs,nan,,-12,9,2,,,-3.3e-07,,121,-12,12,0,Left-Caudate,-12,9,2,Left-Caudate,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 C- Post-Hoc Fixed Effects Analysis - Contrast - Beautiful male versus Average male,fMRI; outcome phase; decision making; social reward; talairach; passive,,vt,nan,,-3,-18,-11,,,3e-06,,122,-4,-17,-18,Outside defined BAs,-3,-18,-11,Outside defined BAs,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 C- Post-Hoc Fixed Effects Analysis - Contrast - Beautiful male versus Average male,fMRI; outcome phase; decision making; social reward; talairach; passive,,slea,nan,,-18,9,-15,,,-1.5e-10,,123,-18,13,-21,Left-OrbFrontal (11),-18,9,-15,Left-OrbFrontal ,11.0
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 C- Post-Hoc Fixed Effects Analysis - Contrast - Beautiful male versus Average male,fMRI; outcome phase; decision making; social reward; talairach; passive,,slea,nan,,-12,0,-8,,,-2e-06,,124,-12,3,-13,Outside defined BAs,-12,0,-8,Outside defined BAs,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 D - Post-Hoc Fixed Effects Analysis - Contrast - General Gender - all female faces versus all male faces,fMRI; outcome phase; decision making; social reward; talairach; passive,,vt,nan,,-6,-18,-8,,,0.00034,,125,-7,-17,-14,Outside defined BAs,-6,-18,-8,Outside defined BAs,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 D - Post-Hoc Fixed Effects Analysis - Contrast - General Gender - all female faces versus all male faces,fMRI; outcome phase; decision making; social reward; talairach; passive,,amyg,nan,,-12,-3,-24,,,-0.00023,,126,-12,0,-32,Outside defined BAs,-12,-3,-24,Outside defined BAs,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 D - Post-Hoc Fixed Effects Analysis - Contrast - General Gender - all female faces versus all male faces,fMRI; outcome phase; decision making; social reward; talairach; passive,,amyg,nan,,-27,-6,-21,,,0.00092,,127,-28,-3,-29,Left-Parahipp (36),-27,-6,-21,Left-Parahipp ,36.0
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 D - Post-Hoc Fixed Effects Analysis - Contrast - General Gender - all female faces versus all male faces,fMRI; outcome phase; decision making; social reward; talairach; passive,,hypo,nan,,7,-12,-8,,,0.00056,,128,8,-10,-14,Outside defined BAs,7,-12,-8,Outside defined BAs,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female vs Beautiful Male,fMRI; outcome phase; decision making; social reward; talairach; passive,,nac and other vs,nan,,7,9,-2,,,0.00014,,129,8,12,-6,Right-Caudate,7,9,-2,Right-Caudate,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female vs Beautiful Male,fMRI; outcome phase; decision making; social reward; talairach; passive,,nac and other vs,nan,,-9,9,5,,,6.6e-07,,130,-9,12,3,Left-Caudate,-9,9,5,Left-Caudate,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female vs Beautiful Male,fMRI; outcome phase; decision making; social reward; talairach; passive,,nac and other vs,nan,,-12,3,-2,,,3.8e-05,,131,-12,6,-6,Outside defined BAs,-12,3,-2,Outside defined BAs,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female vs Beautiful Male,fMRI; outcome phase; decision making; social reward; talairach; passive,,vt,nan,,13,-15,-5,,,4.9e-06,,132,14,-14,-11,Outside defined BAs,13,-15,-5,Outside defined BAs,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female vs Beautiful Male,fMRI; outcome phase; decision making; social reward; talairach; passive,,vt,nan,,19,-21,-2,,,4.8e-05,,133,20,-20,-8,Outside defined BAs,19,-21,-2,Outside defined BAs,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female vs Beautiful Male,fMRI; outcome phase; decision making; social reward; talairach; passive,,slea,nan,,19,9,-15,,,5.9e-06,,134,20,13,-21,Right-ParsOrbitalis (47),19,9,-15,Right-ParsOrbitalis ,47.0
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female vs Beautiful Male,fMRI; outcome phase; decision making; social reward; talairach; passive,,slea,nan,,-18,9,-15,,,1.4e-05,,135,-18,13,-21,Left-OrbFrontal (11),-18,9,-15,Left-OrbFrontal ,11.0
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female vs Beautiful Male,fMRI; outcome phase; decision making; social reward; talairach; passive,,slea,nan,,-30,-3,-8,,,-2.2e-05,,136,-31,0,-14,Outside defined BAs,-30,-3,-8,Outside defined BAs,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female vs Beautiful Male,fMRI; outcome phase; decision making; social reward; talairach; passive,,gob,nan,,28,45,-5,,,-1.4e-07,,137,29,49,-7,Right-AntPFC (10),28,45,-5,Right-AntPFC ,10.0
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female vs Beautiful Male,fMRI; outcome phase; decision making; social reward; talairach; passive,,gob,nan,,-21,18,-8,,,9.5e-08,,138,-21,22,-12,Outside defined BAs,-21,18,-8,Outside defined BAs,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female vs Beautiful Male,fMRI; outcome phase; decision making; social reward; talairach; passive,,gob,nan,,-18,45,-5,,,-7.8e-09,,139,-18,50,-5,Outside defined BAs,-18,45,-5,Outside defined BAs,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female vs Beautiful Male,fMRI; outcome phase; decision making; social reward; talairach; passive,,amyg,nan,,0,3,-15,,,-0.00019,,140,0,7,-21,Outside defined BAs,0,3,-15,Outside defined BAs,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Average Female vs Average Male,fMRI; outcome phase; decision making; social reward; talairach; passive,,nac and other vs,nan,,16,18,-5,,,-0.0001,,141,17,22,-9,Outside defined BAs,16,18,-5,Outside defined BAs,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Average Female vs Average Male,fMRI; outcome phase; decision making; social reward; talairach; passive,,nac and other vs,nan,,-9,6,2,,,-4e-05,,142,-9,9,-1,Left-Caudate,-9,6,2,Left-Caudate,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Average Female vs Average Male,fMRI; outcome phase; decision making; social reward; talairach; passive,,vt,nan,,-6,-18,-8,,,1.9e-05,,143,-7,-17,-14,Outside defined BAs,-6,-18,-8,Outside defined BAs,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Average Female vs Average Male,fMRI; outcome phase; decision making; social reward; talairach; passive,,vt,nan,,10,-24,-5,,,0.00025,,144,11,-23,-11,Outside defined BAs,10,-24,-5,Outside defined BAs,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Average Female vs Average Male,fMRI; outcome phase; decision making; social reward; talairach; passive,,slea,nan,,-18,9,-15,,,-1.4e-05,,145,-18,13,-21,Left-OrbFrontal (11),-18,9,-15,Left-OrbFrontal ,11.0
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Average Female vs Average Male,fMRI; outcome phase; decision making; social reward; talairach; passive,,gob,nan,,22,51,-2,,,3.3e-06,,146,23,55,-3,Right-AntPFC (10),22,51,-2,Right-AntPFC ,10.0
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Average Female vs Average Male,fMRI; outcome phase; decision making; social reward; talairach; passive,,gob,nan,,-24,42,2,,,1.2e-06,,147,-25,46,2,Left-AntPFC (10),-24,42,2,Left-AntPFC ,10.0
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Average Female vs Average Male,fMRI; outcome phase; decision making; social reward; talairach; passive,,gob,nan,,34,42,-2,,,5.1e-05,,148,35,45,-5,Right-AntPFC (10),34,42,-2,Right-AntPFC ,10.0
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Average Female vs Average Male,fMRI; outcome phase; decision making; social reward; talairach; passive,,gob,nan,,-33,24,-5,,,1.9e-06,,149,-34,28,-9,Left-ParsOrbitalis (47),-33,24,-5,Left-ParsOrbitalis ,47.0
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Average Female vs Average Male,fMRI; outcome phase; decision making; social reward; talairach; passive,,amyg,nan,,-18,0,-15,,,-0.00063,,150,-18,3,-21,Left-Amygdala,-18,0,-15,Left-Amygdala,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Average Female vs Average Male,fMRI; outcome phase; decision making; social reward; talairach; passive,,amyg,nan,,-27,-6,-21,,,0.0005,,151,-28,-3,-29,Left-Parahipp (36),-27,-6,-21,Left-Parahipp ,36.0
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Average Female vs Average Male,fMRI; outcome phase; decision making; social reward; talairach; passive,,amyg,nan,,28,3,-28,,,0.00016,,152,29,9,-37,Right-Temporalpole (38),28,3,-28,Right-Temporalpole ,38.0
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Average Female vs Average Male,fMRI; outcome phase; decision making; social reward; talairach; passive,,hypo,nan,,3,-12,-8,,,2.4e-05,,153,4,-10,-14,Outside defined BAs,3,-12,-8,Outside defined BAs,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 1 - Brain activities for four wins in a row,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; positive reward; context-dependent reward,R,medial aspect of superior frontal gyrus,nan,8.11,8,22,58,,81.0,,,154,8,18,64,Right-PreMot+SuppMot (6),8,22,58,Right-PreMot+SuppMot ,6.0
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 1 - Brain activities for four wins in a row,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; positive reward; context-dependent reward,R,medial aspect of superior frontal gyrus,nan,7.16,12,58,22,,,,,155,13,60,25,Right-dlPFC(dorsal) (9),12,58,22,Right-dlPFC(dorsal) ,9.0
